uid,SeanceRef,SessionRef,dateSeance,dateSeanceJour,numSeanceJour,numSeance,typeAssemblee,legislature,session,nomFichierJo,presidentSeance,point_structure_complete,point_nb_niveaux,point_niveau_1,point_niveau_2,point_niveau_3,point_niveau_last,point_niveau_last_known,point_type,point_bibard,point_art,valeur_ptsodj,ordinal_prise,ordre_absolu_seance,id_acteur,id_mandat,code_grammaire,code_style,code_parole,id_syceron,roledebat,nom_orateur,qualite_orateur,id_orateur,stime,texte
CRSANR5L15S2017E1N021,,,20170726150000000,mercredi 26 juillet 2017,1,21,AN,15,Première session extraordinaire 2017,20171021,Présidence de M. François de Rugy,Hommage à la mémoire de Corinne Erhel > Suspension et reprise de la séance,2,Hommage à la mémoire de Corinne Erhel,Suspension et reprise de la séance,,Suspension et reprise de la séance,Suspension et reprise de la séance,SUSP_SEAN_PRES_1,,,3,11,366,PA719890,PM722790,SUSP_SEAN_PRES_3,Info Italiques,,1003973,,,,,,"(La séance, suspendue à seize heures vingt-cinq, est reprise à dix-sept heures, sous la présidence de Mme Danielle Brulebois.)"
CRSANR5L15S2017E1N024,,,20170727150000000,jeudi 27 juillet 2017,2,24,AN,15,Première session extraordinaire 2017,20171024,Présidence de M. Sacha Houlié,Confiance dans la vie publique > Discussion des articles (suite) > Article 7 (suite) > Suspension et reprise de la séance,6,Confiance dans la vie publique,Discussion des articles (suite),Article 7 (suite),Suspension et reprise de la séance,Suspension et reprise de la séance,SUSP_SEAN_PRES_1,,,1,12,576,PA332747,PM722798,SUSP_SEAN_PRES_3,Info Italiques,,1007361,,,,,,"(La séance, suspendue à dix-sept heures trente-cinq, est reprise à dix-sept heures cinquante, sous la présidence de M. François de Rugy.)"
CRSANR5L15S2017E1N024,,,20170727150000000,jeudi 27 juillet 2017,2,24,AN,15,Première session extraordinaire 2017,20171024,Présidence de M. Sacha Houlié,Confiance dans la vie publique > Discussion des articles (suite) > Après l’article 7 bis,4,Confiance dans la vie publique,Discussion des articles (suite),Après l’article 7 bis,,Après l’article 7 bis,DISC_ARTICLES_3_1,(n[[o]] 106),Après_ 7 bis,1,12,605,PA722150,PM723486,CHGT_PRES_1_1,Info Italiques,,1007389,,,,,,(M. Sacha Houlié remplace M. François de Rugy au fauteuil de la présidence.)
CRSANR5L15S2017E1N024,,,20170727150000000,jeudi 27 juillet 2017,2,24,AN,15,Première session extraordinaire 2017,20171024,Présidence de M. Sacha Houlié,Confiance dans la vie publique > Discussion des articles (suite) > Après l’article 7 ter,4,Confiance dans la vie publique,Discussion des articles (suite),Après l’article 7 ter,,Après l’article 7 ter,DISC_ARTICLES_3_9_1,(n[[o]] 106),Après_ 7 ter,1,16,880,PA722150,PM723486,DISC_ARTICLES_3_9_1,NORMAL,,1008526,president,M. le président,,722150.0,,"Je suis de quatre amendements identiques, nos 418 rectifié, 416 rectifié, 417 rectifié et 419 rectifié.La parole est à Mme Laurence Dumont, pour soutenir l’amendement no 418 rectifié."
CRSANR5L15S2017E1N024,,,20170727150000000,jeudi 27 juillet 2017,2,24,AN,15,Première session extraordinaire 2017,20171024,Présidence de M. Sacha Houlié,Confiance dans la vie publique > Discussion des articles (suite) > Après l’article 7 ter,4,Confiance dans la vie publique,Discussion des articles (suite),Après l’article 7 ter,,Après l’article 7 ter,DISC_ARTICLES_3_9_1,(n[[o]] 106),Après_ 7 ter,1,16,883,PA1198,PM722532,DISC_ARTICLES_3_9,NORMAL,,1008015,,Mme Laurence Dumont,,1198.0,,"« La ruse avilit la politique », disait Étienne de Jouy il y a plus de 200 ans – il pensait sans doute à M. Bompard. Plus sérieusement, la politique fait actuellement face à une crise grave de défiance de nos concitoyens. Aussi toutes les manœuvres concourant à ce discrédit doivent-elles être combattues.L’amendement que je propose y concourt et trouve toute sa place dans un texte dont l’objet même est de rétablir la confiance dans la vie politique. Je vous propose de reprendre une proposition de loi votée à l’Assemblée sous la précédente législature, mais que le Sénat tarde à inscrire à son ordre du jour. Elle prévoit des dispositions de nature à empêcher les manœuvres frauduleuses pratiquées par un parti – un seul, le Front national –, aux dernières élections municipales et départementales.Le Front national, pour déposer le maximum de listes, avait, dans certains cas, dont celui de Giberville, dans ma circonscription, inscrit des personnes sans leur consentement sur leurs listes municipales. Pensant avoir signé tantôt une pétition, tantôt un soutien, tantôt une inscription sur une liste électorale, ces personnes se sont retrouvées candidates à leur corps défendant.Si, dans la plupart des cas, ces « malgré eux » ont pu constater leur enrôlement avant le scrutin, dans d’autres, le dépôt des listes au dernier moment en préfecture ne l’a pas permis. Pour Giberville, les manœuvres délibérées et frauduleuses ont été condamnées par le tribunal administratif de Caen : l’élection des candidats qui se sont prêtés à ces manœuvres a été annulée. Mais le conseil municipal reste amputé et des candidats – réels, eux – des équipes adverses sont empêchés de siéger. Quoi qu’il en soit, l’objectif était atteint pour le Front national : présenter le plus grand nombre de listes et afficher un score, qu’importe si les candidats l’étaient réellement et si l’élection était annulée.Mon amendement entend lutter contre ce système en modifiant les modalités de dépôt des candidatures de chaque colistier ou suppléant. En effet, si le ministère de l’intérieur n’est pas en mesure de nous fournir des statistiques précises, le phénomène a atteint une ampleur qui justifie que nous nous en saisissions."
CRSANR5L15S2017E1N026,,,20170728093000000,vendredi 28 juillet 2017,1,26,AN,15,Première session extraordinaire 2017,20171026,Présidence de Mme Cendra Motin,Confiance dans la vie publique > Discussion des articles (suite) > Titre,4,Confiance dans la vie publique,Discussion des articles (suite),Titre,,Titre,DISC_ARTICLES_3_1, (n[[o]] 106),,1,17,918,PA719850,PM722780,FIN_SEAN_1_0,NORMAL,,1014616,president,Mme la présidente,,719850.0,,"Je vous annonce qu’à la demande du Gouvernement et en application de l’article 95, alinéa 4, du Règlement, l’Assemblée nationale examinera par priorité les articles et amendements relatifs à la réserve parlementaire et à la réserve ministérielle à l’ouverture de la séance, cet après-midi.La suite de la discussion est renvoyée à la prochaine séance."
CRSANR5L15S2017E1N030,,,20170802150000000,mercredi 02 août 2017,Unique,30,AN,15,Première session extraordinaire 2017,20171030,Présidence de M. François de Rugy,Questions au Gouvernement > Situation en Libye. > Suspension et reprise de la séance,3,Questions au Gouvernement,Situation en Libye.,Suspension et reprise de la séance,Suspension et reprise de la séance,Suspension et reprise de la séance,SUSP_SEAN_PRES_1,,,1,9,306,PA720622,PM723018,SUSP_SEAN_PRES_3,Info Italiques,,1015802,,,,,,"(La séance, suspendue à seize heures cinq, est reprise à seize heures vingt-cinq, sous la présidence de Mme Carole Bureau-Bonnard.)"
CRSANR5L15S2017E1N031,,,20170803093000000,jeudi 03 août 2017,1,31,AN,15,Première session extraordinaire 2017,20171031,Présidence de M. François de Rugy,Vote sur l’ensemble > Suspension et reprise de la séance,2,Vote sur l’ensemble,Suspension et reprise de la séance,,Suspension et reprise de la séance,Suspension et reprise de la séance,SUSP_SEAN_PRES_1,,,1,7,363,PA719850,PM722780,SUSP_SEAN_PRES_3,Info Italiques,,1017091,,,,,,"(La séance, suspendue à dix heures cinquante, est reprise à onze heures, sous la présidence de Mme Cendra Motin.)"
CRSANR5L15S2017E2N001,,,20170925160000000,lundi 25 septembre 2017,1,1,AN,15,Deuxième session extraordinaire 2017,20172001,Présidence de M. François de Rugy,Sécurité intérieure et lutte contre le terrorisme > Motion de rejet préalable,2,Sécurité intérieure et lutte contre le terrorisme,Motion de rejet préalable,,Motion de rejet préalable,Motion de rejet préalable,MOTION_RP_1_1,,,3,8,205,PA721564,PM733723,MOTION_RP_2_30,NORMAL,PAROLE_1_2,1021186,,,,,,"(La motion de rejet préalable, mise aux voix, n’est pas adoptée.)"
CRSANR5L15S2017E2N001,,,20170925160000000,lundi 25 septembre 2017,1,1,AN,15,Deuxième session extraordinaire 2017,20172001,Présidence de M. François de Rugy,Sécurité intérieure et lutte contre le terrorisme > Motion de rejet préalable,2,Sécurité intérieure et lutte contre le terrorisme,Motion de rejet préalable,,Motion de rejet préalable,Motion de rejet préalable,MOTION_RP_1_1,,,3,8,206,PA720622,PM723018,CHGT_PRES_1_1,Info Italiques,,1021187,,,,,,"(À dix-sept heures cinquante-cinq, Mme Carole Bureau-Bonnard remplace M. François de Rugy au fauteuil de la présidence.)"
